source_no;sku;slug;status;name_ar;name_en;category;category_slug;subcategory;brand;model;country_of_origin;unit;quantity;price_sar;price_type;availability;warranty;short_description_ar;full_description_ar;dimensions;voltage;frequency;phase;power;capacity;temperature_range;productivity;material;stainless_grade;image_filename;datasheet_filename;possible_duplicate_of;inferred_fields;data_quality;data_quality_notes;additional_image_filenames;image_count
11;EW-QT-0011;deck-oven-2-trays-1-door-0011;active;فرن طبقات 2 صواني - 1 باب;Deck Oven, 2 Trays, 1 Door;معدات المخابز;bakery-equipment;أفران الطبقات;Yearmay;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;فرن طبقات من yearmay deck oven 1 door 2 trays مقاس الدور من الداخل 86 x 62 حرارة 20-400° أرضية من الحجر Made in china;فرن طبقات من yearmay deck oven 1 door 2 trays مقاس الدور من الداخل 86 x 62 حرارة 20-400° أرضية من الحجر Made in china;86 x 62 ;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;20-400° ;غير مذكور;غير مذكور;غير مذكور;EW-QT-0011.jpeg;EW-QT-0011.pdf;;sku, slug, name_en, category, subcategory;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
12;EW-QT-0012;deck-oven-4-trays-2-door-0012;active;فرن طبقات 4 صواني - 2 باب;Deck Oven, 4 Trays, 2 Door;معدات المخابز;bakery-equipment;أفران الطبقات;Yearmay;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;فرن طبقات من yearmay deck oven 2 door 4 trays مقاس الدور من الداخل 86 x 62 حرارة 20-400° أرضية من الحجر Made in china;فرن طبقات من yearmay deck oven 2 door 4 trays مقاس الدور من الداخل 86 x 62 حرارة 20-400° أرضية من الحجر Made in china;86 x 62 ;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;20-400° ;غير مذكور;غير مذكور;غير مذكور;EW-QT-0012.jpeg;EW-QT-0012.pdf;;sku, slug, name_en, category, subcategory;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
13;EW-QT-0013;deck-oven-6-trays-3-door-0013;active;فرن طبقات 6 صواني - 3 باب;Deck Oven, 6 Trays, 3 Door;معدات المخابز;bakery-equipment;أفران الطبقات;Yearmay;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;فرن طبقات من yearmay deck oven 3 door 6 trays مقاس الدور من الداخل 86 x 62 حرارة 20-400° أرضية من الحجر Made in china;فرن طبقات من yearmay deck oven 3 door 6 trays مقاس الدور من الداخل 86 x 62 حرارة 20-400° أرضية من الحجر Made in china;86 x 62 ;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;20-400° ;غير مذكور;غير مذكور;غير مذكور;EW-QT-0013.jpeg;EW-QT-0013.pdf;;sku, slug, name_en, category, subcategory;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
14;EW-QT-0014;deck-oven-3-trays-1-door-0014;active;فرن طبقات 3 صواني - 1 باب;Deck Oven, 3 Trays, 1 Door;معدات المخابز;bakery-equipment;أفران الطبقات;Yearmay;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;فرن طبقات من yearmay deck oven 1 door 3 trays مقاس الدور من الداخل 130 x 62 حرارة 20-400° أرضية من الحجر Made in china;فرن طبقات من yearmay deck oven 1 door 3 trays مقاس الدور من الداخل 130 x 62 حرارة 20-400° أرضية من الحجر Made in china;130 x 62 ;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;20-400° ;غير مذكور;غير مذكور;غير مذكور;EW-QT-0014.jpeg;EW-QT-0014.pdf;;sku, slug, name_en, category, subcategory;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
15;EW-QT-0015;deck-oven-6-trays-2-door-0015;active;فرن طبقات 6 صواني - 2 باب;Deck Oven, 6 Trays, 2 Door;معدات المخابز;bakery-equipment;أفران الطبقات;Yearmay;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;فرن طبقات من yearmay deck oven 2 door 6 trays مقاس الدور من الداخل 130 x 62 حرارة 20-400° أرضية من الحجر Made in china;فرن طبقات من yearmay deck oven 2 door 6 trays مقاس الدور من الداخل 130 x 62 حرارة 20-400° أرضية من الحجر Made in china;130 x 62 ;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;20-400° ;غير مذكور;غير مذكور;غير مذكور;EW-QT-0015.jpeg;EW-QT-0015.pdf;;sku, slug, name_en, category, subcategory;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
16;EW-QT-0016;deck-oven-9-trays-3-door-0016;active;فرن طبقات 9 صواني - 3 باب;Deck Oven, 9 Trays, 3 Door;معدات المخابز;bakery-equipment;أفران الطبقات;Yearmay;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;فرن طبقات من yearmay deck oven 3 door 9 trays مقاس الدور من الداخل 130 x 62 حرارة 20-400° أرضية من الحجر Made in china;فرن طبقات من yearmay deck oven 3 door 9 trays مقاس الدور من الداخل 130 x 62 حرارة 20-400° أرضية من الحجر Made in china;130 x 62 ;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;20-400° ;غير مذكور;غير مذكور;غير مذكور;EW-QT-0016.jpeg;EW-QT-0016.pdf;;sku, slug, name_en, category, subcategory;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
17;EW-QT-0017;counter-refrigerator-0017;active;ثلاجة كاونتر 90 سم;Counter Refrigerator;التبريد والتجميد;refrigeration;ثلاجات الكاونتر;Foster;غير مذكور;المملكة المتحدة;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة كاونتر ب 6 أدراج من Foster مقاس 186x87x90 cm Made in U.K;ثلاجة كاونتر ب 6 أدراج من Foster مقاس 186x87x90 cm Made in U.K;186x87x90 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0017.jpeg;EW-QT-0017.pdf;;sku, slug, name_en, category, subcategory;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
18;EW-QT-0018;spiral-mixer-35-l-0018;active;عجانة حلزونية 35 لتر;Spiral Mixer, 35 L;معدات المخابز;bakery-equipment;العجانات;Elite World;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;عجانة حلزوني من Elite world 35 L مزودة بسرعتين حلة ومضرب من الفولاذ المقاوم للصدأ Made n china;عجانة حلزوني من Elite world 35 L مزودة بسرعتين حلة ومضرب من الفولاذ المقاوم للصدأ Made n china;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;35 L;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0018.jpeg;EW-QT-0018.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
19;EW-QT-0019;spiral-mixer-50-l-0019;active;عجانة حلزونية 50 لتر;Spiral Mixer, 50 L;معدات المخابز;bakery-equipment;العجانات;Elite World;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;عجانة حلزوني من Elite world 50 L مزودة بسرعتين حلة ومضرب من الفولاذ المقاوم للصدأ Made n china;عجانة حلزوني من Elite world 50 L مزودة بسرعتين حلة ومضرب من الفولاذ المقاوم للصدأ Made n china;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;50 L;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0019.png;EW-QT-0019.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
20;EW-QT-0020;spiral-mixer-80-l-0020;active;عجانة حلزونية 80 لتر;Spiral Mixer, 80 L;معدات المخابز;bakery-equipment;العجانات;Elite World;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;عجانة حلزوني من Elite world 80 L مزودة بسرعتين حلة ومضرب من الفولاذ المقاوم للصدأ Made n china;عجانة حلزوني من Elite world 80 L مزودة بسرعتين حلة ومضرب من الفولاذ المقاوم للصدأ Made n china;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;80 L;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0020.jpeg;EW-QT-0020.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
21;EW-QT-0021;spiral-mixer-100-l-0021;active;عجانة حلزونية 100 لتر;Spiral Mixer, 100 L;معدات المخابز;bakery-equipment;العجانات;Elite World;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;عجانة حلزوني من Elite world 100 L مزودة بسرعتين حلة ومضرب من الفولاذ المقاوم للصدأ Made n china;عجانة حلزوني من Elite world 100 L مزودة بسرعتين حلة ومضرب من الفولاذ المقاوم للصدأ Made n china;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;100 L;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0021.jpeg;EW-QT-0021.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
22;EW-QT-0022;spiral-mixer-160-l-0022;active;عجانة حلزونية 160 لتر;Spiral Mixer, 160 L;معدات المخابز;bakery-equipment;العجانات;Elite World;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;عجانة حلزوني من Elite world 160 L مزودة بسرعتين حلة ومضرب من الفولاذ المقاوم للصدأ Made n china;عجانة حلزوني من Elite world 160 L مزودة بسرعتين حلة ومضرب من الفولاذ المقاوم للصدأ Made n china;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;160 L;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0022.jpeg;EW-QT-0022.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
23;EW-QT-0023;spiral-mixer-200-l-0023;active;عجانة حلزونية 200 لتر;Spiral Mixer, 200 L;معدات المخابز;bakery-equipment;العجانات;Elite World;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;عجانة حلزوني من Elite world 200 L مزودة بسرعتين حلة ومضرب من الفولاذ المقاوم للصدأ Made n china;عجانة حلزوني من Elite world 200 L مزودة بسرعتين حلة ومضرب من الفولاذ المقاوم للصدأ Made n china;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;200 L;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0023.jpeg;EW-QT-0023.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
24;EW-QT-0024;horizontal-dough-sheeter-0024;active;فرادة عجين أفقية 30 سم;Horizontal Dough Sheeter;معدات المخابز;bakery-equipment;فرادات العجين;Elite World;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;فرادة أفقية من Elite world بهيكل من الفولاذ المقاوم للصدأ مقاس 30 cm Made in china;فرادة أفقية من Elite world بهيكل من الفولاذ المقاوم للصدأ مقاس 30 cm Made in china;30 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0024.jpeg;EW-QT-0024.pdf;;sku, slug, name_en, category, subcategory;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
25;EW-QT-0025;horizontal-dough-sheeter-0025;active;فرادة عجين أفقية 40 سم;Horizontal Dough Sheeter;معدات المخابز;bakery-equipment;فرادات العجين;Elite World;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;فرادة أفقية من Elite world بهيكل من الفولاذ المقاوم للصدأ مقاس 40 cm Made in china;فرادة أفقية من Elite world بهيكل من الفولاذ المقاوم للصدأ مقاس 40 cm Made in china;40 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0025.jpeg;EW-QT-0025.pdf;;sku, slug, name_en, category, subcategory;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
26;EW-QT-0026;dough-moulder-0026;active;برامة عجين;Dough Moulder;معدات المخابز;bakery-equipment;تشكيل العجين;Glead;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;برامة عجين من Glead بشوابك من الفولاذ المقاوم للصدأ 380v Made in china;برامة عجين من Glead بشوابك من الفولاذ المقاوم للصدأ 380v Made in china;غير مذكور;380v;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0026.jpeg;EW-QT-0026.pdf;;sku, slug, name_en, category, subcategory;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
27;EW-QT-0027;stainless-steel-exhaust-hood-0027;active;هود شفط ستانلس ستيل 000 سم;Stainless Steel Exhaust Hood;منتجات الستانلس ستيل;stainless-steel;هودات الشفط;غير مذكور;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;هود من الستانلس ستيل مع فلاتر وأنارة وكاسات للزيت S/STEEL EXHAUST HOOD WITH FRESH AIR Size 000x000x000 cm;هود من الستانلس ستيل مع فلاتر وأنارة وكاسات للزيت S/STEEL EXHAUST HOOD WITH FRESH AIR Size 000x000x000 cm;000x000x000 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0027.jpeg;EW-QT-0027.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور؛ توجد أبعاد Placeholder في المصدر وتحتاج استبدال;;1
28;EW-QT-0028;commercial-gas-range-6-burner-0028;active;موقد غاز تجاري 6 شعلة;Commercial Gas Range, 6 Burner;معدات الطبخ;cooking-equipment;المواقد;Elite World;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;موقد ستانلس ستيل 6 شعلات مع فرن سفلي S/STEEL 6 BURNER RANGE من elite world china;موقد ستانلس ستيل 6 شعلات مع فرن سفلي S/STEEL 6 BURNER RANGE من elite world china;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0028.jpeg;EW-QT-0028.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
29;EW-QT-0029;double-overshelf-0029;active;رف علوي مزدوج ستانلس 00 سم;Double Overshelf;منتجات الستانلس ستيل;stainless-steel;الأرفف;غير مذكور;غير مذكور;غير مذكور;متر;1;;request_quote;غير محدد;غير مذكور;رف مزدوج ستانلس ستيل يوضع فوق الأسطحs/STEEL 2 LEVEL OVERSHELF Size 000x000x00 cm;رف مزدوج ستانلس ستيل يوضع فوق الأسطحs/STEEL 2 LEVEL OVERSHELF Size 000x000x00 cm;000x000x00 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0029.png;EW-QT-0029.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور؛ توجد أبعاد Placeholder في المصدر وتحتاج استبدال;;1
30;EW-QT-0030;stainless-steel-wall-cabinet-0030;active;كابينة جدارية ستانلس 60 سم;Stainless Steel Wall Cabinet;منتجات الستانلس ستيل;stainless-steel;الخزائن;غير مذكور;غير مذكور;غير مذكور;متر;1;;request_quote;غير محدد;غير مذكور;كبينة جدارية من الستانلس ستيل S/STEEL WALL CABINET Size 210x40x60 cm;كبينة جدارية من الستانلس ستيل S/STEEL WALL CABINET Size 210x40x60 cm;210x40x60 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0030.jpeg;EW-QT-0030.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
31;EW-QT-0031;single-overshelf-0031;active;رف علوي مفرد ستانلس 00 سم;Single Overshelf;منتجات الستانلس ستيل;stainless-steel;الأرفف;غير مذكور;غير مذكور;غير مذكور;متر;1;;request_quote;غير محدد;غير مذكور;رف ستانلس ستيل يوضع فوق الأسطح S/STEEL SINGLE LEVEL OVERSHELF Size 000x000x00 cm;رف ستانلس ستيل يوضع فوق الأسطح S/STEEL SINGLE LEVEL OVERSHELF Size 000x000x00 cm;000x000x00 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0031.jpeg;EW-QT-0031.pdf;;sku, slug, name_en, category, subcategory;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور؛ توجد أبعاد Placeholder في المصدر وتحتاج استبدال;;1
32;EW-QT-0032;stainless-steel-base-cabinet-0032;active;كابينة أرضية ستانلس;Stainless Steel Base Cabinet;منتجات الستانلس ستيل;stainless-steel;الخزائن;غير مذكور;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;S/S BASE CABINET WITH SLIDING DOORS - 160 x 70 x 85 خز انة من الفوال ذ المقاوم للصد أ مع أبواب منزلقة;S/S BASE CABINET WITH SLIDING DOORS - 160 x 70 x 85 خز انة من الفوال ذ المقاوم للصد أ مع أبواب منزلقة;160 x 70 x 85 ;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0032.jpeg;EW-QT-0032.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
